Reservation_ID,Customer_ID,Vehicle_ID,Vehicle_Class,Booking_Status,Booking_TS,Pickup_TS,Return_TS,Odo_Start,Odo_End,Fuel_Level,Rate,Promo_Code,City,GPS_Lat,GPS_Lon,Speed,Payment,Driver_License,Damage_Flag,Notes,Vehicle_ID_Invalid,Duration_Hours,Distance_Driven,Refuel_Event,Prev_Return,Overlap_Flag,Promo_Expiry,Promo_Status,Driver_Behavior,Total_Amount
RES-00003,CUST-1181,CAR-001,Suzuki,Completed,2025-03-09 00:07:00.000000,2025-03-10 00:07:00.000000,2025-03-12 23:07:00.000000,57856.0,58238.0,0.3,2000.0,DISC20,Delhi,28.6335,77.1916,128.0,UPI,DL-9542XXXXXX,Minor,Customer reported minor scratch on door,False,71.0,382.0,Refueled,,False,2026-02-28,Valid,Speeding,2360.0
RES-03655,CUST-0243,CAR-001,Suzuki,Completed,2025-04-12 06:48:00.000000,2025-04-13 06:48:00.000000,2025-04-14 10:48:00.000000,79962.0,80173.0,0.3,2300.0,WELCOME5,Mumbai,19.0395,72.8525,49.0,WALLET,DL-9194XXXXXX,Major,Car returned in good condition,False,28.0,211.0,No Refuel,2025-03-12 23:07:00,False,2026-01-31,Valid,Normal Driving,2714.0
RES-01774,CUST-1755,CAR-001,Suzuki,Cancelled,2025-04-13 00:12:00.000000,2025-04-15 00:12:00.000000,2025-04-15 03:12:00.000000,57390.0,57390.0,0.1,1840.0,DISC20,Mumbai,19.0603,72.8744,84.0,CARD,DL-8187XXXXXX,Minor,Car returned in good condition,False,3.0,0.0,No Refuel,2025-04-14 10:48:00,False,2026-02-28,Valid,Fast Driving,0.0
RES-03809,CUST-0799,CAR-001,Suzuki,Cancelled,2025-06-05 00:50:00.000000,2025-06-14 00:50:00.000000,2025-06-15 14:50:00.000000,37275.0,37275.0,0.5,2000.0,NEW10,Chennai,13.0715,80.2734,76.0,CARD,DL-3438XXXXXX,Minor,Low fuel warning observed,False,38.0,0.0,No Refuel,2025-04-15 03:12:00,False,2026-03-31,Valid,Normal Driving,0.0
RES-01293,CUST-0799,CAR-001,Suzuki,Cancelled,2025-05-01 21:46:00.000000,2025-09-01 21:46:00.000000,2025-12-01 00:46:00.000000,70972.0,70972.0,0.75,1500.0,DISC20,Mumbai,19.0629,72.8634,90.0,CARD,DL-3438XXXXXX,Minor,Tyre pressure alert during trip,False,2163.0,0.0,Refueled,2025-06-15 14:50:00,False,2026-02-28,Valid,Unknown,0.0
RES-02593,CUST-1437,CAR-001,Suzuki,Completed,2025-07-06 20:51:00.000000,2025-09-06 20:51:00.000000,2025-10-06 07:51:00.000000,60442.0,60884.0,0.3,2300.0,DISC20,Delhi,28.6086,77.1991,90.0,CARD,DL-9254XXXXXX,None,AC performance slightly low,False,707.0,442.0,No Refuel,2025-12-01 00:46:00,True,2026-02-28,Valid,Fast Driving,2714.0
RES-01461,CUST-0555,CAR-002,Toyota,Completed,2024-12-23 20:04:00.000000,2025-01-01 20:04:00.000000,2025-01-02 20:04:00.000000,39548.0,39636.0,0.1,1835.27,NEW10,Delhi,28.6047,77.2039,28.0,UPI,DL-8144XXXXXX,Minor,AC performance slightly low,False,24.0,88.0,No Refuel,,False,,Invalid,Normal Driving,1393.02
RES-02265,CUST-0117,CAR-002,Toyota,Cancelled,2025-03-05 01:10:00.000000,2025-03-14 01:10:00.000000,2025-11-03 01:10:00.000000,13151.0,13151.0,0.5,2000.0,NEW10,Mumbai,19.0746,72.8706,138.0,UPI,DL-5814XXXXXX,Minor,No Notes,False,5616.0,0.0,No Refuel,2025-01-02 20:04:00,False,2026-03-31,Valid,Speeding,0.0
RES-03309,CUST-0243,CAR-002,Toyota,Completed,2025-03-16 21:06:00.000000,2025-03-17 21:06:00.000000,2025-03-19 06:06:00.000000,41606.0,41887.0,0.3,1500.0,DISC20,Mumbai,19.0509,72.8666,53.0,CARD,DL-9194XXXXXX,Major,Low fuel warning observed,False,33.0,281.0,Refueled,2025-11-03 01:10:00,True,2026-02-28,Valid,Normal Driving,1770.0
RES-02194,CUST-1667,CAR-002,Toyota,No_Show,2025-04-05 15:25:00.000000,2025-04-06 15:25:00.000000,2025-06-03 20:25:00.000000,29008.0,29112.0,0.1,1500.0,NEW10,Chennai,13.0924,80.2739,46.0,CARD,DL-2386XXXXXX,None,No Notes,False,1397.0,104.0,No Refuel,2025-03-19 06:06:00,False,,Invalid,Normal Driving,1770.0
RES-03083,CUST-1704,CAR-002,Toyota,Completed,2025-01-04 00:07:00.000000,2025-04-13 13:10:00.000000,2025-11-04 00:07:00.000000,33094.0,33526.0,0.51,2300.0,SAVE50,Delhi,28.6278,77.2188,139.0,CARD,DL-6455XXXXXX,None,Vehicle returned late due to traffic,False,4906.95,432.0,No Refuel,2025-06-03 20:25:00,True,2026-06-30,Valid,Speeding,2714.0
RES-02226,CUST-0517,CAR-002,Toyota,Cancelled,2025-04-18 15:44:00.000000,2025-04-19 15:44:00.000000,2025-04-22 04:44:00.000000,37104.0,37104.0,0.75,1500.0,WELCOME5,Delhi,28.6314,77.2096,90.0,CARD,DL-6604XXXXXX,None,Low fuel warning observed,False,61.0,0.0,No Refuel,2025-11-04 00:07:00,True,2026-01-31,Valid,Fast Driving,0.0
RES-03482,CUST-1936,CAR-002,Toyota,Cancelled,2025-05-14 01:06:00.000000,2025-05-15 01:06:00.000000,2025-05-15 14:06:00.000000,25233.0,25233.0,1.0,2000.0,WELCOME5,Bengaluru,12.9896,77.6014,90.0,CARD,DL-7578XXXXXX,Major,Car returned in good condition,False,13.0,0.0,Refueled,2025-04-22 04:44:00,False,2026-01-31,Valid,Unknown,0.0
RES-03377,CUST-1190,CAR-002,Toyota,Cancelled,2025-04-30 19:50:00.000000,2025-09-05 19:50:00.000000,2025-12-05 03:00:00.000000,42283.0,42283.0,0.5,2300.0,NEW10,Bengaluru,12.9666,77.6058,106.0,CARD,DL-6729XXXXXX,None,Customer reported minor scratch on door,False,2167.17,0.0,Refueled,2025-05-15 14:06:00,False,,Invalid,Speeding,0.0
RES-03585,CUST-0757,CAR-003,Hatchback,Completed,2025-01-05 13:09:00.000000,2025-01-06 13:09:00.000000,2025-02-06 13:09:00.000000,76958.0,77012.0,0.75,2500.0,WELCOME5,Chennai,13.0704,80.2639,128.0,CARD,DL-3869XXXXXX,Major,Customer requested early pickup,False,744.0,54.0,No Refuel,,False,2026-01-31,Valid,Speeding,2950.0
RES-03637,CUST-0983,CAR-003,Hatchback,Completed,2025-01-08 13:19:00.000000,2025-01-14 13:19:00.000000,2025-01-17 06:19:00.000000,45785.0,45816.0,0.75,2000.0,SAVE50,Bengaluru,12.9654,77.61,90.0,CARD,DL-7906XXXXXX,None,Vehicle returned late due to traffic,False,65.0,31.0,Refueled,2025-02-06 13:09:00,True,2026-06-30,Valid,Unknown,2360.0
RES-02231,CUST-1260,CAR-003,Hatchback,No_Show,2025-02-03 18:56:00.000000,2025-02-12 18:56:00.000000,2025-02-14 22:56:00.000000,47384.0,47445.0,0.51,1840.0,DISC20,Delhi,28.6226,77.2225,29.0,CARD,DL-8784XXXXXX,Major,AC performance slightly low,False,52.0,61.0,No Refuel,2025-01-17 06:19:00,False,2026-02-28,Valid,Normal Driving,2171.2
RES-03945,CUST-0018,CAR-003,Hatchback,Cancelled,2025-02-17 16:14:00.000000,2025-02-18 16:14:00.000000,2025-02-18 21:14:00.000000,13203.0,13203.0,0.51,2000.0,SAVE50,Bengaluru,12.9766,77.5736,99.0,CASH,DL-1575XXXXXX,None,Car returned in good condition,False,5.0,0.0,No Refuel,2025-02-14 22:56:00,False,2026-06-30,Valid,Fast Driving,0.0
RES-01852,CUST-0376,CAR-003,Hatchback,Cancelled,2025-03-03 09:44:00.000000,2025-03-04 09:44:00.000000,2025-03-04 19:02:00.000000,72332.0,72332.0,1.0,2000.0,SAVE50,Bengaluru,12.9844,77.5949,65.0,CARD,DL-7114XXXXXX,None,Interior cleaning required,False,9.3,0.0,Refueled,2025-02-18 21:14:00,False,2026-06-30,Valid,Normal Driving,0.0
RES-03108,CUST-1044,CAR-003,Hatchback,Cancelled,2025-04-19 19:12:00.000000,2025-04-25 14:12:00.000000,2025-04-25 19:12:00.000000,32711.0,32711.0,0.1,1500.0,NEW10,Bengaluru,12.9916,77.6098,84.0,CARD,DL-9787XXXXXX,None,Vehicle returned late due to traffic,False,5.0,0.0,No Refuel,2025-03-04 19:02:00,False,2026-03-31,Valid,Fast Driving,0.0
RES-00677,CUST-0898,CAR-003,Hatchback,Cancelled,2025-01-02 07:15:00.000000,2025-05-02 06:40:00.000000,2025-07-02 22:40:00.000000,62121.0,62121.0,0.75,1800.0,DISC20,Mumbai,19.0444,72.8585,90.0,CARD,DL-3256XXXXXX,Minor,Interior cleaning required,False,1480.0,0.0,No Refuel,2025-04-25 19:12:00,False,2026-02-28,Valid,Fast Driving,0.0
RES-00789,CUST-0595,CAR-003,Hatchback,No_Show,2025-06-16 15:54:00.000000,2025-06-17 15:54:00.000000,2025-06-19 05:54:00.000000,15242.0,15564.0,0.75,2500.0,WELCOME5,Bengaluru,12.9716,77.5796,135.0,CARD,DL-4293XXXXXX,Minor,Customer reported minor scratch on door,False,38.0,322.0,No Refuel,2025-07-02 22:40:00,True,2026-01-31,Valid,Speeding,2950.0
