Reservation_ID,Customer_ID,Vehicle_ID,Vehicle_Class,Booking_Status,Booking_TS,Pickup_TS,Return_TS,Odo_Start,Odo_End,Fuel_Level,Rate,Promo_Code,City,GPS_Lat,GPS_Lon,Speed,Payment,Driver_License,Damage_Flag,Notes
RES-00001,CUST-1675, CAR-014 ,Hatchback,No_Show,02/13/2025 07:56,2025-02-18T07:56,18-02-2025 09:56,57815,"58,065",0.10,$20/day,,New Delhi,12.908959092737174,77.6040027096909,133kmh,cash,DL-2699413330,Major,Customer satisfied with ride
RES-00002,CUST-0853,CAR230,SUV,Cancelled,08-02-2025 20:56,16-02-2025 20:56,2025-02-17 07:56,"77,762",77766km,NA,₹ 2000 / day,NEW10,mumbai,12.946286142603281,77.58670968905044,55,CASH,DL-9806685378,Major,Customer requested early pickup
RES-00003,CUST-1181,CAR-001 ,Suzuki,Completed,2025-03-09T00:07,10-03-2025 00:07,12-03-2025 23:07,"57,856","58,238",30%,2000/day,DISC20,delhi,12.914101503523797,77.62732277615093,128 km/h,upi ,DL-9542219877,Minor,Customer reported minor scratch on door
RES-00004,CUST-0182,CAR-434 ,Suzuki,Cancelled,04-01-2025 02:16,2025-01-11 02:16,11-01-2025 22:16,"59,967",60239km,0.5,1500/day,SAVE50,delhi,12.873192287739675,77.63526754445944,25 km/h,cash,DL-4380657786,None,Customer requested early pickup
RES-00005,CUST-0356,CAR-121,Suzuki,No_Show,2025-05-04T04:22,2025-05-09T04:22,2025-05-10 11:22,"24,261","24,524",75,USD 25/day,DISC20,bangalore,12.919639856363654,77.59889148192103,26kmh,-,DL-6429812852,Minor,AC performance slightly low
RES-00006,CUST-0061,CAR_360,Luxury,Cancelled,2025/5/27 8:78,2025-05-30T08:10,31-05-2025 09:10,"36,184","36,211",75%,₹2500 per day,DISC20,chennai,12.87234323333661,77.58848700209478,100 km/h, card,DL-7859136756,Major,Customer reported minor scratch on door
RES-00007,CUST-0793,CAR-114 ,Creta,Completed,05-06-2025 14:21,08-06-2025 14:21,2025/6/9 7:62,"41,914",41881,30%,₹ 2000 / day,WELCOME5,N/A,12.947692750009688,77.60338183029235,49,cash,DL-3024014652,Major,Tyre pressure alert during trip
RES-00008,CUST-0022,CAR_392,Luxury,No_Show,2025-03-28 02:32,2025/3/31 2:71,04/02/2025 05:32,"34,930",35217km,0.75,"₹1,800/day",NEW10,Mumbai,12.927285009082127,77.61552455113294,fast,wallet,DL-2212993750,Major,AC performance slightly low
RES-00009,CUST-1700,car-505,Suzuki,No_Show,2025-04-08 12:30,2025-04-17T12:30,2025/04/17 11:30,66433,66519km,100%,1800 perday,SAVE50,Bengaluru,12.922702341037821,77.64399927215705,135,netbanking,DL-1593968320,Minor,Low fuel warning observed
RES-00010,CUST-1586,CAR-448 ,EV,Cancelled,2025/3/15 21:78,2025/03/25 21:21,2025-03-26T05:21,"66,231",66471,25%,,DISC20,New Delhi,12.885246500095956,77.59690193770301,fast,netbanking,DL-9281443122,Major,Customer satisfied with ride
RES-00011,CUST-0312, CAR-014 ,Hatchback,Cancelled,2025/1/18 8:67,2025-01-24 08:53,2025-01-26T00:53,46769,"46,714",1.0,2000/day,DISC20,Bengaluru,12.870626090065349,77.60186707004426,48 km/h,netbanking,DL-7283928829,Major,AC performance slightly low
RES-00012,CUST-1632,CAR_110,Creta,No_Show,11-01-2025 13:03,2025/1/18 13:76,2025-01-21T06:03,"39,028",39429km,1.0,₹2500 per day,SAVE50,MUM,12.864099255266424,77.59500085729024,117,Debit Card,DL-3241406398,None,Tyre pressure alert during trip
RES-00013,CUST-1659,CAR-324 ,Hatchback,Cancelled,2025/3/4 19:61,2025-03-06T19:40,2025/3/9 16:75,"74,779",74906,100%,1500/day,NEW10,Mumbai,12.905973264115849,77.6202442009882,fast,upi ,DL-6141484397,None,Tyre pressure alert during trip
RES-00014,CUST-0153,CAR 552,Sedan,Completed,2025/06/12 13:52,2025-06-18 13:52,2025-06-19T22:52,59744 km,59864km,25%,₹2500 per day,,Chennai,12.908283663538752,77.57668113893826,125,Credit Card,DL-6054097310,None,Interior cleaning required
RES-00015,CUST-0236,CAR_376,Creta,No_Show,2025/4/6 8:63,2025-04-14 08:45,14-04-2025 13:45,57727 km,57744km,10%,,NEW10,New Delhi,12.873896463713901,77.5890518479732,73,,DL-5317398731,None,AC performance slightly low
RES-00016,CUST-1618,CAR424,Toyota,No_Show,04/18/2025 08:13,2025-04-24T08:13,04/25/2025 22:13,"24,556",24567km,,₹ 2000 / day,DISC20,New Delhi,12.922112125855149,77.62913816256346,131kmh,cash,DL-7729892640,Minor,Navigation system malfunction reported
RES-00017,CUST-1438,CAR-569 ,Creta,Completed,30-04-2025 07:14,2025/5/7 7:75,08-05-2025 04:14,32923 km,"33,087",100%,USD 25/day,SAVE50,mumbai,12.888884515827305,77.5787869812471,76kmh,Credit Card,DL-2789946880,Minor,Interior cleaning required
RES-00018,CUST-1016,car237,SUV,Completed,20-05-2025 08:56,2025-05-30T08:56,2025/5/30 4:62,"11,153",11183,50,"₹1,800/day",NEW10,N/A,12.866332191360144,77.57224680268662,123 km/h,wallet,DL-7299397205,None,Customer reported minor scratch on door
RES-00019,CUST-1792,CAR-569 ,Creta,Cancelled,31-12-2024 09:06,2025/1/6 9:79,2025-01-09 01:06,29538,"29,762",75,2000/day,SAVE50,delhi,12.855743013709546,77.6464837585363,121kmh,netbanking,DL-2769240560,Minor,Customer reported minor scratch on door
RES-00020,CUST-0662,car-042,SUV,Completed,2024-12-23 08:45,2025-01-01 08:45,2025-01-03 15:45,75137 km,"75,100",0.5,,SAVE50,bangalore,12.898705308263457,77.56557854403266,76kmh,CARD,DL-3306432231,None,Car returned in good condition
RES-00021,CUST-1408,CAR407,Luxury,Cancelled,2025-02-23T07:47,2025/3/2 7:60,2025/03/04 19:47,23638,"23,652",50%,1500/day,NEW10,BLR,12.915781450118864,77.59480127746741,fast,upi,DL-2175775789,Major,Vehicle returned late due to traffic
RES-00022,CUST-1299,CAR-324 ,Hatchback,Cancelled,2025-01-15T00:34,2025-01-19 00:34,20-01-2025 01:34,76828,77082,0.10,1500/day,WELCOME5,Bengaluru,12.949606738936453,77.60249569206125,fast,Wallet,DL-6559914933,Minor,Tyre pressure alert during trip
RES-00023,CUST-1565,CAR_556,Toyota,No_Show,2025-04-20T11:39,2025-04-21T11:39,21-04-2025 23:39,66042 km,66206,0.75,2000/day,WELCOME5,Delhi,12.889290923878336,77.6369605335994,41 km/h,upi ,DL-3078030570,Minor,Car returned in good condition
RES-00024,CUST-0303,CAR-543 ,EV,Cancelled,2025/5/14 4:63,2025/5/17 4:75,17-05-2025 14:21,47193 km,47219km,0.30,1800 perday,NEW10,Mumbai,12.88982517929386,77.59538639737714,124 km/h,card,DL-8246735561,Major,Navigation system malfunction reported
RES-00025,CUST-1649,CAR_481,SUV,No_Show,09-01-2025 14:56,2025-01-17 14:56,01/20/2025 01:56,38696 km,38903,0.30,₹ 2000 / day,DISC20,N/A,12.909573350306358,77.63672586273654,93 km/h,CASH,DL-5086946556,Minor,Customer satisfied with ride
RES-00026,CUST-1888,CAR458,Hatchback,Cancelled,2025-06-13T17:41,2025-06-20 17:41,06/21/2025 20:41,72021 km,72180,75%,1800 perday,SAVE50,CHN,12.92217506860216,77.57902322064236,fast, card,DL-3326793082,None,Low fuel warning observed
RES-00027,CUST-0760,CAR 056,Toyota,Cancelled,2025/01/24 22:01,2025-02-01T22:01,02/02/2025 03:01,78258,"78,410",10%,₹2500 per day,SAVE50,New Delhi,12.89528892012392,77.64049194555214,fast,upi,DL-7607658052,Minor,Navigation system malfunction reported
