Reservation_ID,Customer_ID,Vehicle_ID,Vehicle_Class,Booking_Status,Booking_TS,Pickup_TS,Return_TS,Odo_Start,Odo_End,Fuel_Level,Rate,Promo_Code,City,GPS_Lat,GPS_Lon,Speed,Payment,Driver_License,Damage_Flag,Notes,Vehicle_ID_Invalid,Duration_Hours,Distance_Driven,Refuel_Event,Prev_Return,Overlap_Flag,Promo_Expiry,Promo_Status,Driver_Behavior,Total_Amount
RES-00150,CUST-1889,CAR-001,Sedan,Completed,2025-03-23 09:08:00,2025-02-04 03:05:00,2025-03-30 08:57:00,65756.0,66173.0,0.5,1500.0,DISC20,Bengaluru,12.8856,77.6019,90.0,UPI,DL-8178XXXXXX,,,False,1301.8666666666666,417.0,No Refuel,,False,2026-02-28,Valid,Fast Driving,1770.0
RES-02811,CUST-1818,CAR-001,Sedan,Completed,2025-04-30 23:57:00,2025-03-05 23:57:00,2025-06-05 18:57:00,42725.0,42846.0,1.0,1800.0,,Mumbai,12.8744,77.6187,27.0,CARD,DL-1031XXXXXX,Minor,AC performance slightly low,False,2203.0,121.0,No Refuel,2025-02-20 22:17:00,False,,Valid,Normal Driving,2124.0
RES-02120,CUST-1689,CAR-001,Sedan,No_Show,2025-05-31 05:16:00,2025-06-06 05:07:00,2025-07-06 03:53:00,58380.0,58847.0,0.75,2500.0,NEW10,Bengaluru,12.8728,77.6175,65.0,CASH,DL-6110XXXXXX,,Customer requested early pickup,False,718.7666666666667,467.0,No Refuel,2025-06-02 08:37:00,False,2026-03-31,Valid,Normal Driving,2950.0
RES-02140,CUST-0313,CAR-001,Sedan,No_Show,2025-06-18 16:41:00,2025-06-20 16:41:00,2025-06-20 23:41:00,10798.0,11005.0,1.0,1500.0,WELCOME5,Bengaluru,12.889,77.6231,,CARD,DL-8247XXXXXX,Major,Interior cleaning required,False,7.0,207.0,No Refuel,2025-06-13 08:50:00,False,2026-01-31,Valid,Unknown,1770.0
RES-02201,CUST-0550,CAR-001,Sedan,Cancelled,2025-06-21 05:56:00,2025-06-24 05:56:00,2025-06-26 08:56:00,55092.0,55136.0,,1500.0,,Delhi,12.9129,77.5968,47.0,WALLET,DL-6395XXXXXX,Major,Vehicle returned late due to traffic,False,51.0,44.0,No Refuel,2025-06-20 23:41:00,False,,Valid,Normal Driving,1770.0
RES-03660,CUST-1384,CAR-001,Sedan,Cancelled,2025-06-18 04:44:00,2025-06-27 04:44:00,2025-06-29 17:44:00,48497.0,48868.0,,,NEW10,Bengaluru,12.919,77.5813,96.0,CARD,DL-6507XXXXXX,Major,Customer requested early pickup,False,61.0,371.0,No Refuel,2025-06-26 08:56:00,False,2026-03-31,Valid,Fast Driving,
RES-02454,CUST-0942,CAR-001,Sedan,Cancelled,2025-06-06 11:21:00,2025-08-06 11:21:00,2025-10-06 04:21:00,79939.0,80128.0,0.1,2000.0,NEW10,Chennai,12.8923,77.5911,31.0,UPI,DL-2941XXXXXX,,Interior cleaning required,False,1457.0,189.0,No Refuel,2025-06-29 17:44:00,False,2026-03-31,Valid,Normal Driving,2360.0
RES-04237,CUST-0372,CAR-002,,No_Show,2025-04-14 08:34:00,2025-04-17 08:34:00,2025-04-19 22:34:00,57958.0,58146.0,0.3,1800.0,WELCOME5,Delhi,12.895,77.6114,,CASH,DL-6208XXXXXX,Minor,Tyre pressure alert during trip,False,62.0,188.0,Refueled,,False,2026-01-31,Valid,Unknown,2124.0
RES-02634,CUST-0074,CAR-002,,Completed,2025-04-17 18:54:00,2025-04-21 18:54:00,2025-04-23 08:54:00,75302.0,75427.0,0.25,1500.0,WELCOME5,Mumbai,12.9075,77.6162,,WALLET,DL-7531XXXXXX,Major,,False,38.0,125.0,No Refuel,2025-04-21 07:47:00,False,2026-01-31,Valid,Unknown,1770.0
RES-02122,CUST-0993,CAR-002,,Completed,2025-04-26 19:37:00,2025-05-05 19:37:00,2025-05-07 20:37:00,76545.0,76620.0,0.5,2300.0,WELCOME5,Bengaluru,12.9289,77.6165,104.0,WALLET,DL-3494XXXXXX,Minor,,False,49.0,75.0,Refueled,2025-04-23 08:54:00,False,2026-01-31,Valid,Speeding,2714.0
RES-04525,CUST-0794,CAR-002,,Completed,2025-05-27 12:58:00,2025-05-29 12:58:00,2025-05-31 11:58:00,15917.0,16405.0,0.1,2300.0,NEW10,Delhi,12.9055,77.6151,90.0,CARD,DL-4419XXXXXX,,Vehicle returned late due to traffic,False,47.0,488.0,No Refuel,2025-05-07 20:37:00,False,2026-03-31,Valid,Fast Driving,2714.0
RES-01412,CUST-1745,CAR-002,,Cancelled,2025-02-03 23:31:00,2025-07-02 23:31:00,2025-10-02 09:16:00,12616.0,12924.0,1.0,2000.0,NEW10,Delhi,12.886,77.6341,44.0,CARD,DL-4873XXXXXX,Minor,,False,2193.75,308.0,No Refuel,2025-05-31 11:58:00,False,2026-03-31,Valid,Normal Driving,2360.0
RES-02416,CUST-1032,CAR-003,Luxury,No_Show,2025-06-01 00:11:00,2025-01-09 23:44:00,2025-10-01 21:44:00,57037.0,57185.0,0.5,2000.0,WELCOME5,Delhi,12.8679,77.6299,86.0,CARD,DL-1845XXXXXX,Minor,,False,6358.0,148.0,No Refuel,,False,2026-01-31,Valid,Fast Driving,2360.0
RES-00193,CUST-1367,CAR-003,Luxury,Cancelled,2025-05-25 17:11:00,2025-05-30 17:11:00,2025-05-31 15:11:00,15987.0,16021.0,0.75,1840.0,,Mumbai,12.8934,77.6248,80.0,,DL-9213XXXXXX,Major,Tyre pressure alert during trip,False,22.0,34.0,No Refuel,2025-01-30 07:11:00,False,,Valid,Normal Driving,2171.2
RES-03356,CUST-0403,CAR-003,Luxury,Cancelled,2025-04-01 03:32:00,2025-06-01 03:32:00,2025-08-01 23:32:00,72790.0,72847.0,,2000.0,,,12.8906,77.6081,24.0,CASH,DL-7815XXXXXX,Minor,Customer reported minor scratch on door,False,1484.0,57.0,No Refuel,2025-05-31 15:11:00,False,,Valid,Normal Driving,2360.0
